paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output
26b9357d-3a2d-5297-97fd-554df3ba64db,q1,,"['q14_0.png', 'q17_0_c2.png', 'q16_0_c2.png', 'q12_0.png', 'q1_0.png', 'q13_0.png', 'q11_0_c1.png', 'q10_0_c1.png', 'q15_0_c2.png', 'q18_0_c2.png', 'q19_0_c3.png']",,['c3.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q6,,['q6_0.png'],,[],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q4,,"['q43_0_c7.png', 'q42_0_c7.png', 'q47_0_c8.png', 'q46_0_c8.png', 'q4_0.png', 'q44_0_c7.png', 'q45_0_c8.png', 'q40_0_c7.png', 'q41_0_c7.png', 'q48_0_c9.png', 'q49_0_c9.png']",,['c9.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q25,,['q25_0_c4.png'],,['c4.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q24,,['q24_0_c4.png'],,['c4.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q32,,['q32_0_c6.png'],,['c6.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q33,,['q33_0_c6.png'],,['c6.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q44,,['q44_0_c7.png'],,['c7.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q13,,['q13_0.png'],,[],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q2,,"['q22_0_c3.png', 'q29_0_c5.png', 'q28_0_c5.png', 'q23_0_c4.png', 'q25_0_c4.png', 'q24_0_c4.png', 'q2_0.png', 'q21_0_c3.png', 'q20_0_c3.png', 'q27_0_c5.png', 'q26_0_c4.png']",,['c4.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q11,,['q11_0_c1.png'],,['c1.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q10,,['q10_0_c1.png'],,['c1.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q37,,['q37_0.png'],,[],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q45,,['q45_0_c8.png'],,['c8.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q39,,['q39_0.png'],,[],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q21,,['q21_0_c3.png'],,['c3.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q20,,['q20_0_c3.png'],,['c3.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q40,,['q40_0_c7.png'],,['c7.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q41,,['q41_0_c7.png'],,['c7.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q15,,['q15_0_c2.png'],,['c2.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q30,,['q30_0_c5.png'],,['c5.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q18,,['q18_0_c2.png'],,['c2.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q38,,['q38_0.png'],,[],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q19,,['q19_0_c3.png'],,['c3.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q31,,['q31_0_c6.png'],,['c6.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q27,,['q27_0_c5.png'],,['c5.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q26,,['q26_0_c4.png'],,['c4.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q48,,['q48_0_c9.png'],,['c9.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q49,,['q49_0_c9.png'],,['c9.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q9,,['q9_0_c1.png'],,['c1.png'],,,,
26b9357d-3a2d-5297-97fd-554df3ba64db,q8,,['q8_0_c1.png'],,['c1.png'],,,,
